                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                  1.045,                0.45297,                0.90857,                0.96941,                0.98265,                0.98185,                0.61176,                 1.7727,                0.53263,                 1.0447,              0.0011703,              0.0011703,              0.0011703
                    153,                   1.06,                0.47147,                0.89373,                0.95092,                0.96967,                0.97702,                0.63084,                 1.6585,                 0.5227,                 1.0334,              0.0011671,              0.0011671,              0.0011671
                    154,                 1.0379,                0.47434,                0.88108,                0.95939,                0.96935,                 0.9757,                0.64333,                 1.6406,                 0.5182,                 1.0304,              0.0011638,              0.0011638,              0.0011638
                    155,                 1.1445,                0.46455,                 0.8953,                 0.9864,                 0.9571,                0.97712,                0.64777,                 1.6744,                 0.5221,                 1.0341,              0.0011605,              0.0011605,              0.0011605
                    156,                 1.1841,                0.48767,                 0.8932,                0.95893,                 0.9302,                0.97513,                0.62863,                 1.7661,                0.53294,                 1.0392,              0.0011572,              0.0011572,              0.0011572
                    157,                 1.1418,                0.47428,                0.92565,                0.96057,                0.92186,                0.96074,                0.64518,                 1.7054,                0.52306,                 1.0239,              0.0011539,              0.0011539,              0.0011539
                    158,                 1.0897,                0.45894,                0.90457,                0.95316,                 0.9245,                0.94861,                0.65338,                 1.6332,                0.51352,                 1.0084,              0.0011506,              0.0011506,              0.0011506
                    159,                 1.2472,                 0.5042,                0.90816,                0.95456,                 0.9245,                0.95029,                0.65499,                 1.6443,                0.50427,                 1.0125,              0.0011473,              0.0011473,              0.0011473
                    160,                 1.1094,                0.49542,                 0.8873,                0.97918,                0.95584,                0.96725,                0.62562,                 1.6886,                0.51084,                 1.0236,               0.001144,               0.001144,               0.001144
                    161,                 1.2022,                0.47493,                0.91651,                0.97842,                0.95584,                0.96665,                0.63056,                 1.6438,                0.50998,                 1.0215,              0.0011407,              0.0011407,              0.0011407
                    162,                 1.0736,                0.45577,                0.90882,                0.96089,                0.95584,                0.96414,                0.63744,                   1.65,                0.50498,                 1.0214,              0.0011375,              0.0011375,              0.0011375
                    163,                 1.0683,                 0.4695,                0.90543,                0.97589,                0.89338,                0.94672,                0.64672,                 1.6623,                0.51778,                 1.0273,              0.0011342,              0.0011342,              0.0011342
                    164,                  1.052,                0.46864,                0.89837,                0.95584,                0.93294,                0.95178,                0.62091,                 1.7279,                0.54076,                 1.0522,              0.0011309,              0.0011309,              0.0011309
                    165,                 1.1104,                0.46538,                0.90819,                0.95944,                0.93392,                 0.9476,                0.63953,                 1.6931,                0.52292,                  1.039,              0.0011276,              0.0011276,              0.0011276
                    166,                 1.0473,                0.45044,                0.90346,                 0.9776,                0.93077,                0.96431,                0.65824,                 1.6038,                0.49823,                  1.014,              0.0011243,              0.0011243,              0.0011243
                    167,                   1.03,                0.44394,                0.89743,                 0.9745,                0.94302,                0.96533,                0.65912,                 1.5842,                 0.4991,                 1.0082,               0.001121,               0.001121,               0.001121
                    168,                 1.1347,                0.47176,                0.88815,                0.93804,                0.97423,                0.96499,                0.65239,                 1.6157,                0.50341,                 1.0164,              0.0011177,              0.0011177,              0.0011177
                    169,                  1.054,                0.45279,                0.88597,                0.95681,                0.97968,                 0.9792,                0.66264,                 1.6055,                0.50436,                 1.0116,              0.0011144,              0.0011144,              0.0011144
                    170,                 1.1865,                0.49334,                0.89687,                0.94109,                0.97566,                 0.9775,                0.65337,                  1.638,                0.51467,                 1.0144,              0.0011111,              0.0011111,              0.0011111
                    171,                0.99735,                0.46004,                0.88781,                0.96359,                0.92872,                0.96211,                 0.6389,                  1.649,                0.52082,                 1.0182,              0.0011078,              0.0011078,              0.0011078
                    172,                 1.0816,                0.46508,                0.90724,                0.95025,                0.94835,                0.96318,                0.63957,                 1.6508,                0.50676,                 1.0216,              0.0011046,              0.0011046,              0.0011046
                    173,                 1.1678,                0.47109,                0.92817,                0.98281,                0.96486,                0.97785,                0.65387,                 1.6398,                0.50991,                 1.0147,              0.0011013,              0.0011013,              0.0011013
                    174,                 1.1232,                0.46815,                0.88049,                0.98239,                0.95986,                0.97986,                 0.6625,                  1.632,                 0.5077,                 1.0136,               0.001098,               0.001098,               0.001098
                    175,                 1.1303,                0.45639,                0.90432,                0.96955,                  0.964,                0.97739,                0.64592,                 1.6349,                0.50922,                 1.0171,              0.0010947,              0.0010947,              0.0010947
                    176,                 1.0367,                0.43552,                0.90931,                0.93085,                0.97337,                0.98441,                 0.6463,                 1.6615,                  0.516,                 1.0193,              0.0010914,              0.0010914,              0.0010914
                    177,                 1.1086,                0.45091,                0.89119,                0.92363,                0.97436,                0.96544,                0.63326,                 1.7214,                 0.5249,                 1.0298,              0.0010881,              0.0010881,              0.0010881
                    178,                 1.0867,                0.46164,                0.89831,                0.92839,                0.98718,                0.97811,                0.63805,                 1.6828,                0.52867,                 1.0234,              0.0010848,              0.0010848,              0.0010848
                    179,                 1.1616,                0.46116,                  0.906,                0.98636,                0.95148,                0.97865,                 0.6399,                 1.6631,                0.51924,                 1.0158,              0.0010815,              0.0010815,              0.0010815
                    180,                 1.2189,                0.46483,                0.89572,                0.97421,                0.94902,                0.97822,                0.65269,                 1.6038,                0.49609,                 1.0063,              0.0010782,              0.0010782,              0.0010782
                    181,                 1.0716,                 0.4678,                0.90002,                0.95814,                0.94302,                 0.9716,                0.63676,                 1.6721,                0.51882,                 1.0227,               0.001075,               0.001075,               0.001075
                    182,                  1.236,                0.47694,                0.89829,                0.94487,                0.94064,                 0.9726,                0.62972,                 1.7826,                0.54482,                 1.0448,              0.0010717,              0.0010717,              0.0010717
                    183,                 1.1596,                0.46327,                0.91486,                 0.9337,                0.93957,                 0.9639,                0.62587,                 1.7399,                0.54043,                 1.0344,              0.0010684,              0.0010684,              0.0010684
                    184,                 1.1377,                0.45524,                0.91476,                 0.9646,                0.90638,                 0.9742,                0.65355,                 1.6011,                 0.5189,                  1.007,              0.0010651,              0.0010651,              0.0010651
                    185,                 1.1671,                0.45709,                0.89282,                0.96194,                0.91168,                0.97332,                0.65462,                 1.6149,                0.54562,                 1.0115,              0.0010618,              0.0010618,              0.0010618
                    186,                 1.0472,                0.46903,                0.89111,                0.96833,                0.91258,                0.97391,                0.65322,                 1.6489,                0.53856,                 1.0158,              0.0010585,              0.0010585,              0.0010585
                    187,                 1.1423,                0.49247,                0.89403,                0.98107,                0.95314,                0.96441,                 0.6406,                  1.661,                0.53244,                 1.0199,              0.0010552,              0.0010552,              0.0010552
                    188,                 1.0393,                0.43277,                0.88036,                0.98113,                0.94995,                0.96623,                0.66564,                 1.5505,                0.49013,                 1.0063,              0.0010519,              0.0010519,              0.0010519
                    189,                 1.0288,                0.41625,                0.89509,                 0.9694,                0.94025,                0.97543,                 0.6444,                 1.6157,                0.47096,                 1.0194,              0.0010486,              0.0010486,              0.0010486
                    190,                 1.1747,                0.46646,                0.89259,                0.98503,                0.95097,                0.97823,                0.64445,                 1.6779,                0.47613,                 1.0301,              0.0010454,              0.0010454,              0.0010454
                    191,                 1.0514,                0.43411,                0.88861,                0.98683,                0.96843,                0.97954,                0.65513,                 1.6259,                0.47314,                 1.0192,              0.0010421,              0.0010421,              0.0010421
                    192,                 1.0421,                0.43585,                0.88673,                0.98593,                0.94201,                 0.9643,                0.66069,                 1.6072,                 0.4935,                 1.0139,              0.0010388,              0.0010388,              0.0010388
                    193,                 1.0753,                0.45056,                0.90915,                0.98385,                 0.9396,                0.96514,                0.66578,                 1.5902,                0.49065,                 1.0087,              0.0010355,              0.0010355,              0.0010355
                    194,                0.99717,                0.42898,                0.86301,                0.97001,                0.94052,                0.96682,                0.65241,                 1.6074,                0.49393,                 1.0085,              0.0010322,              0.0010322,              0.0010322
                    195,                 1.0479,                0.43875,                0.87431,                0.93373,                0.98405,                0.98104,                0.64634,                 1.6852,                0.50121,                 1.0224,              0.0010289,              0.0010289,              0.0010289
                    196,                0.98482,                0.42769,                0.89301,                0.95812,                0.94912,                0.96455,                0.65336,                 1.6182,                0.49714,                 1.0204,              0.0010256,              0.0010256,              0.0010256
                    197,                 1.1529,                0.46561,                  0.893,                0.95895,                0.94981,                0.96656,                0.64864,                 1.6293,                0.49286,                 1.0209,              0.0010223,              0.0010223,              0.0010223
                    198,                  1.011,                0.41717,                0.90437,                0.95561,                0.95536,                 0.9628,                0.64628,                  1.602,                0.48998,                 1.0133,               0.001019,               0.001019,               0.001019
                    199,                0.97794,                0.43172,                0.88288,                0.98519,                0.92247,                 0.9642,                 0.6487,                 1.5893,                0.48828,                 1.0067,              0.0010158,              0.0010158,              0.0010158
                    200,                 1.0189,                0.43832,                0.88101,                0.97278,                0.94462,                0.97632,                0.64854,                 1.6165,                0.50228,                 1.0206,              0.0010125,              0.0010125,              0.0010125
                    201,                 1.0725,                 0.4431,                0.89775,                0.96447,                0.91026,                0.95218,                0.64963,                 1.6359,                0.51531,                 1.0166,              0.0010092,              0.0010092,              0.0010092
                    202,                 1.0053,                 0.4383,                0.89898,                0.96614,                0.90815,                0.94866,                0.64579,                 1.6585,                0.51542,                 1.0178,              0.0010059,              0.0010059,              0.0010059
                    203,                 1.0707,                0.43578,                0.88678,                0.96441,                0.91168,                0.94904,                0.64344,                 1.6077,                0.49364,                 1.0121,              0.0010026,              0.0010026,              0.0010026
                    204,                 1.0117,                0.42343,                0.88503,                0.97286,                0.95813,                 0.9671,                0.63498,                 1.6309,                0.49168,                   1.03,             0.00099931,             0.00099931,             0.00099931
                    205,                 1.0058,                0.41291,                0.88106,                0.98322,                0.94038,                0.96764,                 0.6285,                 1.6447,                0.50369,                 1.0375,             0.00099602,             0.00099602,             0.00099602
                    206,                0.98999,                0.41722,                 0.8942,                0.95945,                 0.9245,                0.95287,                0.65909,                 1.5791,                0.50195,                 1.0238,             0.00099273,             0.00099273,             0.00099273
                    207,                 1.0324,                0.43618,                0.88652,                0.95234,                0.95124,                0.95226,                 0.6597,                 1.6106,                0.49993,                 1.0256,             0.00098944,             0.00098944,             0.00098944
                    208,                 1.0786,                0.43996,                0.85917,                0.98679,                0.92572,                0.95244,                0.64186,                 1.6232,                0.49038,                 1.0238,             0.00098615,             0.00098615,             0.00098615
                    209,                0.99092,                0.42482,                0.89025,                0.98677,                0.93239,                0.95348,                0.64326,                 1.6497,                0.50023,                 1.0302,             0.00098286,             0.00098286,             0.00098286
                    210,                 1.0616,                0.44181,                0.91263,                0.98671,                0.96892,                0.96905,                 0.6423,                 1.6355,                0.50001,                  1.023,             0.00097957,             0.00097957,             0.00097957
                    211,                 1.0553,                 0.4342,                0.89028,                0.96816,                0.97326,                0.97576,                0.65349,                 1.5999,                0.50656,                 1.0074,             0.00097628,             0.00097628,             0.00097628
                    212,                0.99175,                0.42762,                0.87146,                0.97835,                0.91911,                0.96269,                 0.6514,                 1.5917,                0.48725,                 1.0051,             0.00097299,             0.00097299,             0.00097299
                    213,                0.98191,                0.41255,                0.87124,                 0.9811,                 0.9245,                0.96311,                0.64961,                 1.5569,                0.48718,                 1.0011,             0.00096971,             0.00096971,             0.00096971
                    214,                 1.0086,                0.42539,                 0.8765,                0.96276,                0.93596,                0.96236,                0.65922,                 1.5451,                  0.479,                 1.0032,             0.00096642,             0.00096642,             0.00096642
                    215,                0.98018,                0.40144,                0.87732,                0.98425,                0.97364,                0.98105,                0.65603,                 1.5674,                0.48248,                 1.0055,             0.00096313,             0.00096313,             0.00096313
                    216,                 1.0172,                0.42575,                0.87674,                0.98035,                0.94034,                0.96769,                0.65878,                 1.6159,                0.49561,                 1.0175,             0.00095984,             0.00095984,             0.00095984
                    217,                0.95312,                 0.3998,                0.87993,                0.98257,                0.93685,                0.96717,                0.66037,                 1.5999,                 0.5052,                 1.0123,             0.00095655,             0.00095655,             0.00095655
                    218,                0.97052,                0.40984,                0.87868,                 0.9863,                0.93393,                0.96595,                0.65095,                 1.6509,                0.51028,                 1.0159,             0.00095326,             0.00095326,             0.00095326
                    219,                0.97559,                0.44585,                0.89015,                0.94645,                0.95081,                0.96086,                0.64278,                 1.6649,                0.49392,                 1.0154,             0.00094997,             0.00094997,             0.00094997
                    220,                 0.9661,                0.41288,                0.85983,                0.97415,                0.95192,                0.96207,                0.64452,                 1.6357,                0.49509,                 1.0139,             0.00094668,             0.00094668,             0.00094668
                    221,                0.91394,                 0.3989,                0.87111,                0.95292,                0.96887,                 0.9744,                0.64527,                 1.6201,                0.50035,                 1.0137,             0.00094339,             0.00094339,             0.00094339
                    222,                0.92391,                 0.3966,                0.87422,                0.96171,                0.96112,                0.97356,                0.65189,                 1.6362,                0.50765,                 1.0134,              0.0009401,              0.0009401,              0.0009401
                    223,                0.98612,                0.42759,                0.88265,                0.95423,                0.98436,                 0.9766,                0.63091,                 1.7366,                0.51636,                 1.0282,             0.00093681,             0.00093681,             0.00093681
                    224,                0.99302,                0.44086,                0.90025,                0.97206,                0.98502,                0.97964,                0.62955,                 1.6938,                0.50647,                 1.0187,             0.00093353,             0.00093353,             0.00093353
                    225,                0.91505,                 0.3824,                  0.873,                0.98454,                0.98162,                0.98152,                0.65073,                 1.6328,                0.48337,                 1.0141,             0.00093024,             0.00093024,             0.00093024
                    226,                0.92738,                0.40167,                 0.8716,                0.97861,                0.97436,                0.98974,                0.62962,                 1.6546,                0.48127,                 1.0157,             0.00092695,             0.00092695,             0.00092695
                    227,                0.96758,                0.40457,                0.87988,                0.95819,                0.98718,                0.98187,                 0.6278,                 1.6726,                0.47719,                  1.019,             0.00092366,             0.00092366,             0.00092366
                    228,                0.93207,                0.40566,                0.87632,                0.98037,                0.95584,                0.97599,                0.63267,                 1.6583,                0.48771,                 1.0226,             0.00092037,             0.00092037,             0.00092037
                    229,                0.93295,                0.39682,                0.87201,                0.96438,                0.95584,                0.96433,                0.63484,                 1.6478,                0.47921,                  1.018,             0.00091708,             0.00091708,             0.00091708
                    230,                0.94136,                0.41868,                0.89097,                0.96335,                0.95584,                0.96405,                0.63332,                 1.6557,                0.48007,                 1.0187,             0.00091379,             0.00091379,             0.00091379
                    231,                0.89915,                0.39924,                0.84888,                0.96484,                0.95197,                0.96097,                0.63892,                 1.6634,                 0.4716,                 1.0228,              0.0009105,              0.0009105,              0.0009105
                    232,                 0.9584,                0.41142,                0.86846,                 0.9556,                0.93959,                0.96107,                0.65307,                 1.6383,                0.47523,                 1.0119,             0.00090721,             0.00090721,             0.00090721
                    233,                 0.8865,                0.39337,                0.87779,                0.96402,                0.92488,                 0.9622,                0.66019,                 1.5923,                0.49193,                 1.0049,             0.00090392,             0.00090392,             0.00090392
                    234,                0.88354,                0.38643,                0.86598,                 0.9346,                0.95584,                0.96253,                0.67785,                 1.5741,                0.49556,                 1.0026,             0.00090063,             0.00090063,             0.00090063
                    235,                0.98101,                0.43573,                 0.9009,                0.93576,                 0.9473,                0.96389,                0.67309,                 1.5672,                0.49492,                 1.0021,             0.00089734,             0.00089734,             0.00089734
                    236,                0.95814,                0.40909,                0.87157,                0.96209,                 0.9342,                0.96534,                0.66131,                 1.5857,                0.49623,                 1.0016,             0.00089406,             0.00089406,             0.00089406
                    237,                 1.0142,                0.42922,                0.88401,                0.98135,                 0.9428,                0.96611,                0.65557,                 1.6006,                0.49748,                 1.0024,             0.00089077,             0.00089077,             0.00089077
                    238,                0.89333,                0.39566,                0.86711,                0.97711,                0.94302,                0.96496,                0.66539,                 1.6043,                0.48421,                 1.0074,             0.00088748,             0.00088748,             0.00088748
                    239,                0.91525,                0.40016,                0.86841,                0.96276,                0.94302,                0.96482,                0.67458,                 1.5577,                0.48226,                 1.0013,             0.00088419,             0.00088419,             0.00088419
                    240,                0.87412,                0.39066,                0.86575,                0.96272,                0.94302,                0.96179,                0.67395,                  1.553,                0.49007,                 1.0032,              0.0008809,              0.0008809,              0.0008809
                    241,                0.89288,                0.39747,                0.86259,                0.96069,                0.93627,                0.96257,                0.66725,                 1.5909,                0.48349,                 1.0089,             0.00087761,             0.00087761,             0.00087761
                    242,                0.88486,                0.38414,                0.87133,                0.95254,                0.95348,                0.96744,                 0.6687,                  1.605,                0.48763,                 1.0134,             0.00087432,             0.00087432,             0.00087432
                    243,                0.99336,                0.42485,                0.87017,                0.95255,                0.95249,                0.96204,                0.65467,                 1.5909,                0.48879,                 1.0141,             0.00087103,             0.00087103,             0.00087103
                    244,                0.93545,                0.40075,                0.86851,                0.97038,                0.96395,                0.98097,                0.66979,                 1.5939,                0.50444,                 1.0067,             0.00086774,             0.00086774,             0.00086774
                    245,                0.96792,                0.41266,                0.89946,                0.95337,                0.95151,                0.97913,                0.66128,                 1.5864,                0.50214,                 1.0094,             0.00086445,             0.00086445,             0.00086445
                    246,                 1.0104,                0.43972,                0.90525,                0.97185,                0.94666,                0.96941,                0.64937,                 1.6319,                0.50989,                 1.0223,             0.00086116,             0.00086116,             0.00086116
                    247,                 0.9351,                0.39833,                0.88772,                0.96399,                 0.9296,                0.97398,                0.65788,                 1.6066,                0.50562,                 1.0165,             0.00085788,             0.00085788,             0.00085788
                    248,                0.98614,                0.41993,                0.87175,                0.98217,                0.95474,                0.97959,                0.65523,                 1.6102,                0.50792,                 1.0189,             0.00085459,             0.00085459,             0.00085459
                    249,                  1.044,                0.42957,                0.88825,                0.98355,                0.95956,                0.98088,                0.65055,                  1.612,                0.49701,                 1.0214,              0.0008513,              0.0008513,              0.0008513
                    250,                0.86547,                 0.3955,                0.85866,                0.96327,                0.94302,                0.96443,                0.65346,                 1.6125,                0.49651,                 1.0182,             0.00084801,             0.00084801,             0.00084801
                    251,                0.96645,                0.40865,                0.87971,                0.98027,                0.96154,                0.98091,                0.65931,                 1.6094,                0.49669,                 1.0141,             0.00084472,             0.00084472,             0.00084472
                    252,                0.99639,                0.42253,                0.86618,                0.97073,                0.97436,                0.98095,                0.65286,                 1.6116,                0.49585,                 1.0106,             0.00084143,             0.00084143,             0.00084143
                    253,                0.98751,                0.41083,                0.89192,                0.97272,                 0.9654,                0.98074,                 0.6607,                 1.6126,                0.50997,                 1.0122,             0.00083814,             0.00083814,             0.00083814
                    254,                 0.9748,                0.40255,                0.88032,                0.96948,                0.97243,                 0.9793,                0.65561,                 1.5828,                  0.504,                 1.0061,             0.00083485,             0.00083485,             0.00083485
                    255,                0.82567,                0.37406,                0.86955,                0.98666,                0.96409,                0.97998,                0.65786,                 1.5628,                0.49611,                  1.001,             0.00083156,             0.00083156,             0.00083156
                    256,                0.97507,                0.40582,                0.89201,                0.98028,                0.96154,                0.97782,                0.65965,                 1.5735,                0.48327,                 1.0049,             0.00082827,             0.00082827,             0.00082827
                    257,                0.85935,                0.39174,                0.87971,                 0.9766,                0.96154,                0.97872,                0.67595,                 1.5698,                0.47682,                  1.009,             0.00082498,             0.00082498,             0.00082498
                    258,                0.91242,                0.38982,                0.86584,                0.97885,                0.96154,                0.97834,                0.68163,                 1.5537,                0.47905,                 1.0037,              0.0008217,              0.0008217,              0.0008217
                    259,                0.87824,                 0.3727,                0.86823,                 0.9802,                0.96154,                0.97544,                0.67663,                 1.5443,                0.48324,                0.99959,             0.00081841,             0.00081841,             0.00081841
                    260,                0.91778,                0.37927,                0.87021,                0.96987,                0.94106,                0.96095,                 0.6674,                 1.5975,                0.47748,                 1.0109,             0.00081512,             0.00081512,             0.00081512
                    261,                 0.9328,                 0.4126,                0.88391,                0.96702,                0.94273,                0.96257,                 0.6675,                 1.6148,                0.47991,                 1.0207,             0.00081183,             0.00081183,             0.00081183
                    262,                0.89621,                0.39252,                0.88387,                0.98602,                0.95914,                 0.9788,                0.65623,                 1.6287,                0.48412,                 1.0219,             0.00080854,             0.00080854,             0.00080854
                    263,                0.87118,                 0.3798,                0.87513,                0.98156,                0.94482,                0.97764,                0.66205,                 1.6162,                0.49418,                 1.0165,             0.00080525,             0.00080525,             0.00080525
                    264,                0.92075,                0.40262,                 0.8546,                0.97342,                0.93256,                0.97737,                0.66022,                 1.6358,                0.50967,                 1.0179,             0.00080196,             0.00080196,             0.00080196
                    265,                0.82467,                  0.369,                0.86244,                0.97545,                0.93334,                0.97441,                0.65217,                   1.68,                0.51252,                 1.0233,             0.00079867,             0.00079867,             0.00079867
                    266,                0.85479,                0.38914,                0.85827,                0.98015,                0.92018,                 0.9743,                0.64499,                 1.6621,                0.51206,                 1.0197,             0.00079538,             0.00079538,             0.00079538
                    267,                0.86592,                0.38026,                0.86601,                0.96376,                0.94872,                0.97473,                 0.6634,                 1.6421,                0.48538,                 1.0216,             0.00079209,             0.00079209,             0.00079209
                    268,                0.94038,                0.39534,                0.86298,                0.97998,                0.96007,                0.97477,                0.67269,                 1.5953,                0.47222,                 1.0079,              0.0007888,              0.0007888,              0.0007888
                    269,                0.87484,                0.38619,                0.86151,                0.98452,                0.96154,                0.97613,                0.66955,                 1.5793,                0.47138,                 1.0049,             0.00078551,             0.00078551,             0.00078551
                    270,                0.89243,                0.37563,                0.86513,                0.96496,                0.94302,                0.96191,                0.67836,                 1.5615,                0.46459,                 1.0024,             0.00078223,             0.00078223,             0.00078223
                    271,                0.90082,                0.39443,                0.87732,                0.96314,                0.93968,                0.96565,                0.67815,                 1.5354,                0.46627,                0.99899,             0.00077894,             0.00077894,             0.00077894
                    272,                0.89362,                0.37845,                0.88236,                0.98684,                0.95517,                0.96242,                0.67465,                 1.5399,                0.45973,                  1.001,             0.00077565,             0.00077565,             0.00077565
                    273,                0.85251,                0.38668,                0.85902,                0.98641,                0.93693,                 0.9705,                  0.674,                 1.5509,                0.45524,                 1.0074,             0.00077236,             0.00077236,             0.00077236
                    274,                0.87921,                0.38664,                0.87824,                0.97225,                0.96154,                0.97324,                0.67001,                 1.5627,                0.46423,                 1.0135,             0.00076907,             0.00076907,             0.00076907
                    275,                0.80766,                0.36692,                0.87329,                0.96942,                0.96154,                0.97485,                0.68281,                 1.5509,                0.46019,                 1.0118,             0.00076578,             0.00076578,             0.00076578
                    276,                0.78955,                0.35473,                0.85647,                0.97784,                0.96154,                0.97343,                 0.6883,                 1.5544,                0.46255,                 1.0077,             0.00076249,             0.00076249,             0.00076249
                    277,                0.86619,                0.38061,                0.90261,                0.97591,                0.96154,                0.97406,                0.68007,                 1.6021,                0.46542,                 1.0133,              0.0007592,              0.0007592,              0.0007592
                    278,                0.85444,                0.37276,                0.86099,                0.97803,                0.96154,                0.97481,                 0.6678,                 1.6323,                 0.4745,                 1.0191,             0.00075591,             0.00075591,             0.00075591
                    279,                0.82033,                 0.3632,                0.85458,                0.98223,                0.96154,                0.97572,                0.66503,                 1.6264,                0.46389,                  1.019,             0.00075262,             0.00075262,             0.00075262
                    280,                0.84134,                0.36256,                0.88243,                0.98255,                0.96154,                0.98009,                0.68468,                 1.5851,                0.46742,                 1.0123,             0.00074933,             0.00074933,             0.00074933
                    281,                0.80438,                  0.375,                0.87021,                0.98311,                0.96154,                0.98075,                0.68079,                 1.5746,                0.47357,                 1.0089,             0.00074605,             0.00074605,             0.00074605
                    282,                0.85873,                0.37781,                0.87033,                0.97358,                0.96103,                0.97899,                0.65623,                 1.5902,                0.47358,                 1.0122,             0.00074276,             0.00074276,             0.00074276
                    283,                0.86623,                0.38185,                0.90131,                0.96963,                0.96154,                0.97673,                0.64461,                 1.6177,                0.48382,                 1.0186,             0.00073947,             0.00073947,             0.00073947
                    284,                0.95062,                0.39519,                0.86662,                 0.9831,                0.96154,                0.97729,                0.65332,                 1.6575,                0.47726,                 1.0232,             0.00073618,             0.00073618,             0.00073618
                    285,                0.90974,                 0.3996,                0.89065,                0.98431,                0.94872,                0.97592,                0.66379,                 1.6278,                0.46963,                 1.0167,             0.00073289,             0.00073289,             0.00073289
                    286,                0.84253,                0.36948,                 0.8572,                0.96024,                0.97436,                0.97529,                0.66839,                 1.5975,                0.47473,                  1.013,              0.0007296,              0.0007296,              0.0007296
                    287,                0.84331,                0.36815,                0.87077,                0.97709,                0.94872,                 0.9766,                0.66095,                 1.6026,                0.47431,                 1.0149,             0.00072631,             0.00072631,             0.00072631
                    288,                0.80881,                0.36947,                 0.8541,                0.95687,                 0.9302,                0.96159,                0.65545,                 1.5909,                0.47117,                 1.0203,             0.00072302,             0.00072302,             0.00072302
                    289,                0.88749,                0.38401,                0.87925,                0.95112,                0.94225,                0.95897,                0.66004,                 1.5792,                0.46653,                 1.0199,             0.00071973,             0.00071973,             0.00071973
                    290,                0.87811,                 0.3697,                0.86476,                0.96609,                0.93878,                0.96054,                0.67161,                 1.5821,                0.46126,                 1.0191,             0.00071644,             0.00071644,             0.00071644
                    291,                0.82507,                 0.3664,                0.85915,                0.96627,                0.94118,                0.96065,                0.67554,                 1.5921,                0.45815,                  1.019,             0.00071315,             0.00071315,             0.00071315
                    292,                0.91202,                0.38085,                0.86884,                0.96381,                0.94179,                0.96118,                0.66585,                 1.6111,                0.46273,                 1.0192,             0.00070986,             0.00070986,             0.00070986
                    293,                0.88857,                0.37918,                0.85151,                0.96452,                0.94302,                0.95987,                0.66452,                 1.5987,                0.46352,                 1.0148,             0.00070658,             0.00070658,             0.00070658
                    294,                0.84815,                0.38547,                0.83967,                0.96367,                0.94278,                0.95776,                0.65404,                 1.6056,                0.46857,                 1.0125,             0.00070329,             0.00070329,             0.00070329
                    295,                0.84765,                0.35464,                0.88009,                0.94969,                0.94302,                0.95704,                0.67193,                 1.5994,                0.47744,                 1.0121,                 0.0007,                 0.0007,                 0.0007
                    296,                0.82425,                0.37025,                0.87026,                0.96629,                 0.9245,                0.95909,                0.66977,                 1.6051,                0.47882,                  1.011,             0.00069671,             0.00069671,             0.00069671
                    297,                0.90545,                0.37285,                 0.8571,                  0.963,                0.93937,                0.96129,                0.66257,                 1.6003,                0.49253,                 1.0103,             0.00069342,             0.00069342,             0.00069342
                    298,                0.84202,                0.36723,                 0.8564,                0.95106,                0.93997,                0.96197,                0.66595,                 1.5861,                0.48084,                 1.0061,             0.00069013,             0.00069013,             0.00069013
                    299,                0.89268,                0.38449,                0.87527,                 0.9823,                0.96315,                 0.9813,                0.67239,                 1.5713,                0.46571,                 1.0021,             0.00068684,             0.00068684,             0.00068684
                    300,                0.78486,                0.35925,                0.86746,                0.94384,                0.95271,                0.96304,                0.67434,                 1.5557,                0.45082,                 1.0031,             0.00068355,             0.00068355,             0.00068355
                    301,                 0.8407,                0.36146,                0.85156,                 0.9549,                0.95201,                0.96492,                0.67679,                 1.5706,                 0.4496,                 1.0068,             0.00068026,             0.00068026,             0.00068026
                    302,                 0.8335,                0.35615,                0.86996,                 0.9527,                0.94855,                0.96512,                0.66788,                 1.6013,                0.45569,                 1.0166,             0.00067697,             0.00067697,             0.00067697
                    303,                0.90626,                0.39138,                0.88588,                0.94837,                0.94782,                0.96346,                0.66883,                 1.6151,                0.46229,                 1.0211,             0.00067368,             0.00067368,             0.00067368
                    304,                0.77299,                0.35988,                0.87594,                0.95682,                0.92249,                0.96248,                0.66853,                  1.581,                0.47273,                 1.0082,              0.0006704,              0.0006704,              0.0006704
                    305,                0.78785,                0.35168,                0.84187,                0.96181,                0.90481,                0.95969,                0.67111,                 1.5798,                0.46937,                 1.0056,             0.00066711,             0.00066711,             0.00066711
                    306,                0.77936,                0.35224,                0.87014,                0.96849,                 0.9574,                0.97624,                0.65553,                 1.6009,                0.47006,                 1.0077,             0.00066382,             0.00066382,             0.00066382
                    307,                0.88134,                0.37238,                0.86787,                 0.9685,                 0.9576,                0.97356,                0.65056,                 1.5973,                0.47633,                 1.0049,             0.00066053,             0.00066053,             0.00066053
                    308,                0.85963,                0.38295,                0.87507,                0.94058,                0.94302,                0.95086,                0.66224,                 1.5718,                0.47357,                 1.0042,             0.00065724,             0.00065724,             0.00065724
