                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5972,                0.87533,                0.99225,                 0.8879,                0.84068,                0.94415,                 0.6152,                 1.6708,                0.86373,                 1.0275,              0.0015552,              0.0015552,              0.0015552
                     36,                 1.6521,                0.94331,                 1.0106,                0.89571,                0.86804,                0.93568,                0.56595,                 1.7864,                0.92209,                 1.0554,              0.0015519,              0.0015519,              0.0015519
                     37,                 1.6086,                0.88414,                0.98998,                0.88042,                0.74758,                0.92884,                0.55177,                 1.8368,                 1.1079,                 1.0588,              0.0015486,              0.0015486,              0.0015486
                     38,                 1.6051,                0.86524,                0.98764,                0.69336,                0.78476,                0.86222,                0.49627,                 1.8994,                 1.3627,                 1.0806,              0.0015453,              0.0015453,              0.0015453
                     39,                 1.6015,                 0.8261,                0.97778,                0.71775,                0.75664,                 0.8591,                0.48454,                 1.8734,                 1.4445,                  1.072,               0.001542,               0.001542,               0.001542
                     40,                 1.5426,                0.76595,                0.99617,                0.77364,                0.65424,                0.83476,                0.46507,                 1.9681,                 1.5993,                 1.0831,              0.0015387,              0.0015387,              0.0015387
                     41,                 1.5628,                0.77813,                0.98589,                0.81456,                0.62634,                0.86624,                0.49095,                 1.8782,                 1.5326,                 1.0573,              0.0015354,              0.0015354,              0.0015354
                     42,                  1.559,                 0.7881,                0.95571,                0.95444,                0.73984,                0.93333,                0.56156,                 1.8631,                 1.0963,                 1.0547,              0.0015321,              0.0015321,              0.0015321
                     43,                 1.7086,                0.81746,                 1.0243,                0.91021,                0.90283,                0.94201,                0.57703,                 1.8189,                0.79897,                 1.0432,              0.0015289,              0.0015289,              0.0015289
                     44,                 1.6032,                0.79043,                0.97538,                0.91464,                0.91812,                0.95311,                0.57324,                 1.8013,                0.76757,                 1.0308,              0.0015256,              0.0015256,              0.0015256
                     45,                 1.5869,                 0.7926,                 1.0094,                0.94017,                0.89747,                0.94418,                 0.5869,                 1.7534,                0.74118,                  1.034,              0.0015223,              0.0015223,              0.0015223
                     46,                 1.6228,                0.76475,                0.95465,                0.96191,                0.89791,                0.96176,                0.60834,                  1.743,                0.70264,                 1.0322,               0.001519,               0.001519,               0.001519
                     47,                 1.4762,                0.75647,                0.99662,                0.95402,                0.85438,                0.94845,                0.60901,                  1.725,                0.67566,                 1.0287,              0.0015157,              0.0015157,              0.0015157
                     48,                 1.4896,                0.79888,                0.95904,                0.87203,                0.94341,                0.95496,                0.59803,                 1.7715,                0.69635,                 1.0357,              0.0015124,              0.0015124,              0.0015124
                     49,                 1.4532,                0.72366,                0.94305,                0.83737,                0.97786,                0.95665,                0.55712,                 1.8812,                0.71692,                 1.0545,              0.0015091,              0.0015091,              0.0015091
                     50,                 1.5191,                0.78421,                0.98395,                0.84846,                0.93207,                0.94317,                0.58976,                 1.8076,                0.69978,                  1.043,              0.0015058,              0.0015058,              0.0015058
                     51,                 1.5127,                0.71436,                0.96678,                0.87335,                0.89886,                0.94343,                0.58474,                 1.7453,                  0.699,                 1.0347,              0.0015025,              0.0015025,              0.0015025
                     52,                 1.5028,                0.71029,                 0.9499,                0.92221,                0.96154,                0.97657,                0.62265,                  1.645,                0.64601,                 1.0248,              0.0014993,              0.0014993,              0.0014993
                     53,                 1.4209,                0.73326,                0.97481,                0.96584,                0.95929,                0.97649,                0.61599,                 1.7132,                0.63939,                 1.0311,               0.001496,               0.001496,               0.001496
                     54,                 1.4513,                0.69794,                0.96899,                0.95548,                0.94692,                0.94873,                0.58696,                 1.6854,                0.65401,                 1.0232,              0.0014927,              0.0014927,              0.0014927
                     55,                 1.4521,                0.69726,                 0.9419,                0.93964,                0.94887,                0.95681,                 0.5952,                 1.6633,                0.65781,                 1.0155,              0.0014894,              0.0014894,              0.0014894
                     56,                 1.3442,                0.66324,                0.94076,                0.95265,                0.91632,                0.95016,                0.61586,                 1.7003,                  0.641,                 1.0331,              0.0014861,              0.0014861,              0.0014861
                     57,                 1.4076,                0.65915,                0.93542,                 0.9476,                 0.9251,                0.95855,                0.61417,                  1.678,                0.63992,                 1.0272,              0.0014828,              0.0014828,              0.0014828
                     58,                 1.4516,                0.68964,                0.95306,                0.96366,                0.93077,                0.95326,                0.60521,                 1.6562,                0.62799,                 1.0289,              0.0014795,              0.0014795,              0.0014795
                     59,                 1.4727,                0.69459,                0.92215,                0.95982,                 0.9436,                0.97528,                0.62907,                 1.5969,                 0.5876,                 1.0091,              0.0014762,              0.0014762,              0.0014762
                     60,                 1.3406,                0.65898,                0.94802,                0.94456,                0.90615,                0.93019,                0.60987,                  1.657,                0.61958,                 1.0299,              0.0014729,              0.0014729,              0.0014729
                     61,                 1.4022,                0.67003,                 0.9348,                0.90639,                0.92487,                0.95555,                0.61855,                 1.6509,                0.61798,                 1.0136,              0.0014697,              0.0014697,              0.0014697
                     62,                 1.4451,                0.68944,                 0.9503,                0.94634,                0.95135,                0.97147,                0.61967,                 1.6603,                0.59541,                 1.0131,              0.0014664,              0.0014664,              0.0014664
                     63,                 1.4037,                0.64827,                0.93684,                0.97832,                0.98296,                0.98902,                 0.6151,                 1.6582,                0.62604,                 1.0129,              0.0014631,              0.0014631,              0.0014631
                     64,                 1.4317,                0.68928,                 0.9472,                0.95456,                0.91738,                0.97094,                0.62152,                 1.6448,                0.62349,                 1.0116,              0.0014598,              0.0014598,              0.0014598
